,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,regulation of cell differentiation (GO:0045595),0.8043246078226247,1.5458157753945365,0.015274949083503055,1.0,0.641,3/22,1.94%,BCL6;IGF2;CASZ1
9,regulation of apoptotic process (GO:0042981),0.7232357317527722,1.4065660258355375,0.026052104208416832,0.6843003412969284,0.975,8/42,6.22%,BCL6;ACTN2;PRKN;FOXO3;BCL3;MEF2C;ANKRD1;SOX8
1,cellular response to lipid (GO:0071396),0.8086017121774437,1.5411868287085393,0.03248730964467005,0.7322826741618149,0.658,4/18,5.51%,ESR1;MYOG;MEF2C;ANKRD1
4,cellular response to cytokine stimulus (GO:0071345),0.7494471760912889,1.441821814520164,0.05315947843530592,0.9963862678177073,0.947,7/28,9.49%,BCL6;FOXO3;SMAD3;ANKRD1;STAT5B;PDE2A;STAT2
6,cellular response to oxygen-containing compound (GO:1901701),0.7431087876221714,1.4205129895884427,0.06262626262626263,0.8695901568818655,0.963,5/26,8.78%,ESR1;MYOG;MEF2C;ANKRD1;PDE2A
2,positive regulation of programmed cell death (GO:0043068),0.766321276784498,1.4912094726020022,0.06604747162022703,0.9757076892190323,0.853,3/17,5.51%,BCL6;FOXO3;ANKRD1
21,negative regulation of cellular process (GO:0048523),0.6771514956326717,1.2920716487291892,0.078,0.6778029238378566,1.0,7/53,5.10%,BCL6;MYOG;PRKN;SMAD3;CBFA2T3;PROX1;RB1
5,negative regulation of DNA-binding transcription factor activity (GO:0043433),0.7342168720970632,1.4223789057825356,0.083248730964467,0.9994646322692898,0.962,5/21,8.37%,ESR1;PROX1;RB1;GLIS2;HEYL
3,cellular response to organic cyclic compound (GO:0071407),0.7648688574832405,1.4452384507533114,0.08341915550978372,1.0,0.941,4/17,8.78%,ESR1;MYOG;MEF2C;PDE2A
7,regulation of inflammatory response (GO:0050727),0.7556707823439094,1.4165230466586376,0.11783107403545359,0.7871160409556315,0.968,3/15,8.78%,BCL6;RB1;PDE2A
15,positive regulation of cell differentiation (GO:0045597),0.6964574188318386,1.3262525681168684,0.12224448897795591,0.7682317807669143,0.998,15/29,22.96%,MYOG;SOX5;SMAD3;MEF2C;SMYD1;HEYL;BOC;MEF2A;PPARG;VHL;AR;ZEB1;TCF4;SOX11;CREBL2
13,positive regulation of apoptotic process (GO:0043065),0.7031999562337414,1.3671028117679453,0.13434343434343435,0.6633779791780194,0.992,3/22,5.51%,BCL6;FOXO3;ANKRD1
8,cellular response to growth factor stimulus (GO:0071363),0.7412488993364201,1.4112645001096986,0.13575129533678756,0.7305538825313971,0.971,7/15,10.41%,SOX5;SMAD3;MEF2C;ANKRD1;STAT5B;PDE2A;NR4A1
19,positive regulation of intracellular signal transduction (GO:1902533),0.695604069645632,1.3146074559606198,0.13824419778002017,0.6583015458743224,0.998,3/28,2.65%,ESR1;IGF2;PRKN
18,protein deubiquitination (GO:0016579),0.6832313920687658,1.3177587760971177,0.14170854271356784,0.6793710838026606,0.998,3/28,3.88%,ESR1;PRKN;SMAD3
17,protein modification by small protein removal (GO:0070646),0.6832313920687658,1.3177587760971177,0.14170854271356784,0.6793710838026606,0.998,3/28,3.88%,ESR1;PRKN;SMAD3
11,intracellular steroid hormone receptor signaling pathway (GO:0030518),0.725746188726667,1.3764621866376578,0.14241486068111456,0.7218262731713846,0.991,6/16,14.69%,ESR1;CALCOCO1;NR3C2;PPARGC1B;RBFOX2;KDM3A
10,regulation of protein phosphorylation (GO:0001932),0.71825012857976,1.379641095469508,0.14564102564102563,0.768191856326769,0.991,3/16,9.49%,IGF2;PRKN;STAT2
12,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),0.724553447213162,1.3715694262617124,0.15544041450777202,0.6900066406189673,0.992,2/17,2.65%,ESR1;PRKN
23,negative regulation of macromolecule metabolic process (GO:0010605),0.670093912054803,1.285888886291923,0.1701913393756294,0.6437796961788128,1.0,4/25,5.41%,ESR1;PRKN;RB1;MEF2C
14,positive regulation of developmental process (GO:0051094),0.6998052243499666,1.3327439635306881,0.18031088082901556,0.7878605367061501,0.997,11/17,23.88%,PRKN;SOX5;SOX8;RREB1;FOXO6;VHL;AR;PINK1;ESRRB;LMNA;ACVR1B
20,cytokine-mediated signaling pathway (GO:0019221),0.6761466898671473,1.3065861986052576,0.18044354838709678,0.6558732708100304,1.0,5/25,12.76%,BCL6;FOXO3;STAT5B;STAT2;TRIM25
28,regulation of cell cycle (GO:0051726),0.6451384187254176,1.2425701177361832,0.1831831831831832,0.6650444101378341,1.0,7/37,10.41%,MYOG;PLAGL1;SMAD3;PROX1;RB1;PER2;NR4A1
25,positive regulation of DNA-binding transcription factor activity (GO:0051091),0.656841643013486,1.2664951777049627,0.18674698795180722,0.6583092675242845,1.0,9/31,16.33%,ESR1;SMAD3;PPARGC1A;PPARGC1B;TRIM25;ARID5B;PPARG;DDIT3;MTDH
29,chromatin organization (GO:0006325),0.6331179065728837,1.2156850710964289,0.188,0.7304758080706686,1.0,5/42,5.10%,ESR1;KDM4B;CDAN1;HDAC8;RB1
16,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",0.684912338357726,1.3180205509862635,0.18997912317327767,0.7577618479634375,0.998,2/15,3.78%,PLAGL1;BCL3
41,regulation of nucleic acid-templated transcription (GO:1903506),0.593636076672801,1.1380795509813528,0.206,0.7224357319719696,1.0,9/95,6.33%,ESR1;RALY;ATF7;IGF2;CASZ1;RB1;MEF2C;PPARGC1A;TFEB
22,positive regulation of signal transduction (GO:0009967),0.6729548857286697,1.2899624678109889,0.22765072765072766,0.6556217976135401,1.0,2/16,5.31%,IGF2;MAML2
38,regulation of cell population proliferation (GO:0042127),0.5973020063607611,1.1464626179073816,0.232,0.7533241703087116,1.0,7/66,9.49%,BCL6;MYOG;IGF2;CBFA2T3;PROX1;STAT5B;STAT2
27,negative regulation of intracellular signal transduction (GO:1902532),0.6542328678066198,1.2442312471761372,0.2459349593495935,0.6835259701150085,1.0,7/19,21.84%,ESR1;PDE2A;PRKAA2;DDIT3;PPARA;PINK1;SHANK2
24,circulatory system development (GO:0072359),0.6671595218459425,1.2694455124653723,0.24663212435233162,0.6740012045773941,1.0,5/15,12.04%,MEF2C;HDAC9;GLI2;MEF2A;POU6F1
