,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,chromatin remodeling (GO:0006338),0.6267332702870528,1.5479601574732669,0.003003003003003003,0.24509149499367017,0.188,12/26,21.14%,ACTB;HMGA2;SMARCA5;NPM1;ATRX;CHD4;PBRM1;SMARCC1;TOP1;SMARCA4;BAZ1B;BPTF
1,negative regulation of apoptotic process (GO:0043066),0.6442234288463802,1.5294268550401073,0.011270491803278689,0.15951202670042583,0.232,6/16,12.93%,PTMA;HMGA2;SET;NPM1;MTDH;SFPQ
2,positive regulation of apoptotic process (GO:0043065),0.6361207167263137,1.4659980305493865,0.020703933747412008,0.2180841677216404,0.413,8/15,25.55%,TOP2A;HMGA2;ANKRD1;CCAR1;BCLAF1;HMGB1;MYBBP1A;SOX4
6,regulation of apoptotic process (GO:0042981),0.5633419268731275,1.429198199964261,0.023069207622868605,0.1417884681781563,0.556,14/30,26.81%,PTMA;TOP2A;HMGA2;NPM1;ANKRD1;MTDH;CCAR1;BCLAF1;HMGB1;ACTN1;PA2G4;GSK3B;SOX4;ANP32B
4,gene expression (GO:0010467),0.6211430784681728,1.4389272292726234,0.03505154639175258,0.17905857981355738,0.523,4/15,7.89%,PTMA;HNRNPU;TPR;RBM39
3,mRNA processing (GO:0006397),0.6336524393958486,1.4612763439118195,0.03516028955532575,0.17445045459776728,0.438,9/15,21.45%,DDX5;HNRNPU;SF3B1;SFPQ;CCAR1;FUS;DHX9;TCERG1;YBX1
5,ATP-dependent chromatin remodeling (GO:0043044),0.6147210079158009,1.4321628943572569,0.03604531410916581,0.1610311888594775,0.552,5/16,9.78%,ACTB;SMARCA5;CHD4;PBRM1;SMARCC1
7,nucleosome organization (GO:0034728),0.588905930467737,1.4221041327612867,0.039634146341463415,0.13204051099090805,0.58,11/20,26.81%,SET;SMARCA5;NPM1;ATRX;NAP1L1;SMARCC1;HMGB2;SMARCA4;BPTF;BRD2;ANP32B
9,chromatin organization (GO:0006325),0.5458252290165859,1.3679520760748347,0.04124748490945674,0.19283231672229256,0.777,12/31,21.14%,HMGA2;SMARCA5;NPM1;ATRX;NUCKS1;PBRM1;SMARCC1;TOP1;HMGB2;SMARCA4;BAZ1B;BPTF
8,"regulation of gene expression, epigenetic (GO:0040029)",0.5928219693395054,1.3940902732398561,0.0421377183967112,0.16069359726857713,0.686,7/17,20.50%,ACTB;SMARCA5;DDX21;SF3B1;DEK;BAZ1B;MYBBP1A
10,"transcription, DNA-templated (GO:0006351)",0.554370150521666,1.3494172520940948,0.05852674066599395,0.20761882840372886,0.821,6/21,16.72%,PTMA;DDX5;SMARCA5;DDX21;NFIX;DEK
11,positive regulation of cell population proliferation (GO:0008284),0.5495538955409641,1.3343957816093106,0.083248730964467,0.2205317067556681,0.857,7/21,15.77%,HNRNPU;HMGA2;NPM1;NAP1L1;CDK6;CCAR1;DHX9
13,positive regulation of gene expression (GO:0010628),0.5233638552369324,1.3077133349522134,0.08324974924774323,0.24227019384114565,0.9,12/30,25.55%,ACTB;DDX5;HMGA2;SMARCA5;NPM1;DDX21;SF3B1;DEK;BAZ1B;MYBBP1A;GSK3B;SOX4
12,"mRNA splicing, via spliceosome (GO:0000398)",0.5690768455515509,1.3259350598437492,0.0942622950819672,0.22000584293138098,0.878,8/16,21.45%,DDX5;HNRNPU;SF3B1;SFPQ;CCAR1;FUS;DHX9;YBX1
15,positive regulation of cellular process (GO:0048522),0.5021568323210606,1.2501433112360631,0.14112903225806453,0.34371043848544136,0.978,13/26,32.49%,LMNA;HMGA2;NPM1;CCND1;NAP1L1;ANKRD17;CCAR1;BCLAF1;PA2G4;SOX4;DHX36;ACTN4;ZFHX3
20,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.44543940968557094,1.171558205063044,0.143,0.4523727318064986,0.999,23/59,30.60%,NCL;HMGA2;SET;CBX5;ANKRD1;ENO1;NIPBL;NCOR1;SFPQ;HMGB2;CNOT1;BCLAF1;SMARCA4;MYBBP1A;YBX1;PA2G4;GSK3B;FOXP1;RBFOX2;ZBTB38;CBX3;BASP1;DHX36
16,negative regulation of cellular process (GO:0048523),0.49812064769542275,1.227017217131566,0.15267947421638017,0.3823522641879862,0.985,9/23,26.81%,LMNA;NPM1;PBRM1;ENO1;CDK6;SMARCA4;ACTN1;SOX4;ANP32B
14,negative regulation of cell population proliferation (GO:0008285),0.5325304829487267,1.2547042741327872,0.159877800407332,0.35136532780910734,0.972,4/17,11.04%,LMNA;NPM1;PBRM1;CDK6
17,DNA repair (GO:0006281),0.5077413723225009,1.216082197349738,0.19289340101522842,0.3904809401414304,0.99,6/18,19.56%,HMGA2;SMARCA5;NPM1;NUCKS1;SMC1A;BAZ1B
19,DNA metabolic process (GO:0006259),0.4910353810493456,1.18282101140478,0.201010101010101,0.4415191621590517,0.998,7/22,18.61%,TOP2A;NPM1;DDX21;TOP1;HMGB2;SMC1A;HMGB1
21,cellular response to DNA damage stimulus (GO:0006974),0.47630558779130794,1.1671269679422132,0.22791164658634538,0.4437794913108528,0.999,13/26,35.65%,TOP2A;NPM1;CCND1;CBX5;NIPBL;SMC1A;BAZ1B;FOXP1;ZBTB38;CBX3;POLA1;RIF1;FMR1
18,double-strand break repair (GO:0006302),0.4933743969868356,1.1886576357803333,0.24514811031664965,0.44865922430659455,0.997,11/19,38.17%,SMARCA5;NUCKS1;SFPQ;HMGB2;HMGB1;BAZ1B;NSD2;RAD21;POLA1;RIF1;MORF4L1
25,"regulation of transcription, DNA-templated (GO:0006355)",0.39840132902501485,1.0745559892117924,0.283,0.6259727152810362,1.0,75/173,39.43%,DDX5;HMGA2;SET;SMARCA5;NPM1;CBX5;ATRX;NUCKS1;ANKRD1;CHD4;ENO1;ZBTB20;PURB;SMARCC1;NIPBL;NFIX;NCOR1;MTDH;THRAP3;SFPQ;HMGB2;CCAR1;FUS;DHX9;BCLAF1;DEK;CUX1;SMARCA4;ATAD2;HMGB1;BAZ1B;NFAT5;MYBBP1A;KMT2A;BPTF;YBX1;PA2G4;KMT2E;ZFHX4;BRD2;NSD1;LRRFIP1;HDGF;PBX1;SOX4;FOXP1;SETD5;RBFOX2;CHD3;ZBTB38;BBX;TCF12;NSD2;CBX3;BASP1;DHX36;SBNO1;RAD21;HNRNPD;ZFHX3;JMJD1C;RUNX1;ZEB2;NFIC;POLA1;NFIB;CHD1;TEAD1;MED13;DDX17;PSIP1;TBL1X;BAZ1A;TCF4;RUNX2
22,regulation of cell population proliferation (GO:0042127),0.4540109295911236,1.1304094549301293,0.2894472361809045,0.5263786796899629,0.999,7/30,14.20%,LMNA;NPM1;PBRM1;NAP1L1;CDK6;HMGB2;CCAR1
23,positive regulation of intracellular signal transduction (GO:1902533),0.4770473788187581,1.116944770430617,0.3258655804480652,0.5444086392757126,1.0,8/16,32.18%,DDX21;MTDH;ANKRD17;BCLAF1;HMGB1;NFAT5;DHX36;ACTN4
24,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.4257499079392135,1.0890452252100438,0.3333333333333333,0.6061659569570721,1.0,19/46,32.81%,HMGA2;ATRX;NUCKS1;SFPQ;ANKRD17;CCAR1;FUS;MYBBP1A;YBX1;SMC3;NSD1;SOX4;CHD3;ZBTB38;NSD2;SBNO1;HNRNPD;ZFHX3;JMJD1C
26,negative regulation of transcription by RNA polymerase II (GO:0000122),0.3947236178830702,1.04153445974547,0.414,0.6977643082143024,1.0,24/76,27.13%,DDX5;HNRNPU;TPR;HMGA2;CCND1;CBX5;ATRX;ENO1;NIPBL;NFIX;NCOR1;MTDH;SFPQ;CNOT1;CUX1;SMARCA4;TCERG1;HMGB1;BPTF;NSD1;LRRFIP1;HDGF;FOXP1;CHD3
27,"negative regulation of transcription, DNA-templated (GO:0045892)",0.373397056590478,0.9947093009409597,0.527,0.8129326077306283,1.0,30/98,27.44%,DDX5;HNRNPU;TPR;HMGA2;SET;CCND1;CBX5;ENO1;NIPBL;NFIX;NCOR1;MTDH;SFPQ;HMGB2;CNOT1;BCLAF1;CUX1;SMARCA4;TCERG1;HMGB1;MYBBP1A;BPTF;PA2G4;NSD1;LRRFIP1;HDGF;FOXP1;RBFOX2;CHD3;ZBTB38
28,negative regulation of nucleic acid-templated transcription (GO:1903507),0.38016609005549856,0.9912954497469538,0.535,0.7933518797052159,1.0,17/51,30.28%,HMGA2;SET;CBX5;ENO1;NIPBL;NCOR1;SFPQ;HMGB2;BCLAF1;SMARCA4;MYBBP1A;PA2G4;FOXP1;RBFOX2;ZBTB38;CBX3;BASP1
29,regulation of nucleic acid-templated transcription (GO:1903506),0.384273427159696,0.9784973280377623,0.5460921843687375,0.8024889707292746,1.0,17/44,32.81%,HMGA2;ATRX;SFPQ;CCAR1;FUS;MYBBP1A;YBX1;NSD1;SOX4;CHD3;ZBTB38;NSD2;SBNO1;HNRNPD;ACTN4;ZFHX3;JMJD1C
30,regulation of transcription by RNA polymerase II (GO:0006357),0.35024759113029824,0.9435054787511284,0.678,0.865171017118418,1.0,50/170,28.39%,DDX5;HNRNPU;TPR;HMGA2;SMARCA5;NPM1;CCND1;CBX5;ATRX;NUCKS1;ANKRD1;CHD4;ENO1;ZBTB20;PURB;SMARCC1;NIPBL;NFIX;NCOR1;MTDH;THRAP3;SFPQ;HMGB2;FUS;CNOT1;DHX9;BCLAF1;DEK;CUX1;SMARCA4;TCERG1;ATAD2;HMGB1;BAZ1B;NFAT5;KMT2A;BPTF;YBX1;ZFHX4;BRD2;NSD1;LRRFIP1;HDGF;PBX1;SOX4;FOXP1;CHD3;ZBTB38;BBX;TCF12
31,regulation of gene expression (GO:0010468),0.30839742714252294,0.8010141737635124,0.8578578578578578,1.0,1.0,21/62,33.12%,HMGA2;ATRX;CDK6;SFPQ;CCAR1;FUS;MYBBP1A;YBX1;NSD1;GSK3B;SOX4;FOXP1;CHD3;ZBTB38;NSD2;DHX36;SBNO1;HNRNPD;ZFHX3;JMJD1C;RUNX1
32,transcription by RNA polymerase II (GO:0006366),0.3030797862872415,0.7565663336760805,0.8678678678678678,1.0,1.0,5/30,16.72%,DDX5;DDX21;NFIX;NCOR1;DEK
34,"DNA-templated transcription, initiation (GO:0006352)",0.293003777786335,0.6970411373503429,0.8743667679837892,1.0,1.0,2/18,11.67%,SMARCA5;NCOR1
37,positive regulation of multicellular organismal process (GO:0051240),0.284270006523674,0.654952304800349,0.9112734864300627,1.0,1.0,2/15,15.14%,ENO1;GNAS
36,negative regulation of gene expression (GO:0010629),0.2767715567334177,0.6795580605437147,0.9223790322580645,1.0,1.0,8/26,35.65%,NCL;NCOR1;CNOT1;YBX1;FOXP1;DHX36;RUNX1;FMR1
40,cellular protein modification process (GO:0006464),0.2556018923454932,0.5942676527126468,0.9371134020618557,1.0,1.0,3/15,24.92%,CDK6;BRD2;GSK3B
35,positive regulation of nucleic acid-templated transcription (GO:1903508),0.2639559605722882,0.6905901468552066,0.954,1.0,1.0,21/55,40.38%,HMGA2;NPM1;SMARCC1;THRAP3;HMGB2;SMARCA4;ATAD2;KMT2A;KMT2E;NSD1;SOX4;HNRNPD;ZFHX3;RUNX1;NFIB;TEAD1;MED13;TBL1X;TCF4;RUNX2;BRD4
39,positive regulation of macromolecule metabolic process (GO:0010604),0.2523642835449428,0.5993635171164938,0.9582059123343527,1.0,1.0,13/18,63.41%,HMGA2;ANXA2;GSK3B;DHX36;FMR1;MPHOSPH8;RESF1;CTCF;RBPJ;MED1;CITED2;DNMT1;SOX11
33,positive regulation of transcription by RNA polymerase II (GO:0045944),0.27177918252347216,0.7273345121706447,0.971,1.0,1.0,37/97,41.32%,HNRNPU;HMGA2;SMARCA5;NPM1;ATRX;NFIX;THRAP3;SFPQ;HMGB2;DHX9;BCLAF1;SMARCA4;TCERG1;ATAD2;HMGB1;NFAT5;KMT2A;BPTF;YBX1;PBX1;SOX4;ZBTB38;TCF12;DHX36;ZFHX3;RUNX1;ZEB2;NFIC;NFIB;TEAD1;MED13;DDX17;TBL1X;TCF4;RUNX2;BRD4;CDC5L
41,regulation of intracellular signal transduction (GO:1902531),0.21154446642907865,0.4917750897896571,0.976530612244898,1.0,1.0,10/16,62.78%,CHD4;CHD3;SSRP1;PHF20;PAK1;BRD7;KAT6A;TAF15;RBBP7;KMT5A
42,histone modification (GO:0016570),0.20367183146360193,0.46893784881185496,0.9876416065911432,1.0,1.0,15/17,76.03%,BAZ1B;NSD1;MORF4L1;TBL1X;CREBBP;PHF20;EZH2;BRD8;KAT6A;MORF4L2;NSD3;MIER1;NAA50;EP300;USP16
