,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
11,"regulation of transcription, DNA-templated (GO:0006355)",0.6292262106432351,1.1846427773730572,0.019,0.27664501837587474,0.849,50/167,23.02%,ESR1;NPAS3;CAMTA1;SCML4;BCL6;BACH2;SOX5;SMAD3;CASZ1;PLAGL1;HOXC5;MYOG;ZHX2;CREBRF;ARNT;MEF2C;PURG;PROX1;GLIS3;TFEB;HDAC9;CDKN1C;PKNOX2;HEYL;GLI2;SOX8;BCL3;STAT5B;GLIS2;PER2;HOXA3;MAF;ATF7;SFMBT2;FOS;TEAD4;ANKRD2;CBFA2T3;STAT2;RORA;LHX9;PPARGC1A;BICRA;PBX4;ZFAT;DDIT3;NR4A1;ACVR1B;IGF2;ZBTB34
8,"positive regulation of transcription, DNA-templated (GO:0045893)",0.6656241828561746,1.2446040757460177,0.019,0.21905608977048335,0.697,22/89,13.09%,ESR1;NPAS3;SMAD3;CASZ1;PLAGL1;MYOG;CREBRF;ARNT;MEF2C;PROX1;GLIS3;TFEB;CDKN1C;HDAC8;HEYL;GLI2;SOX8;WWOX;BCL3;STAT5B;BCAS3;GLIS2
9,positive regulation of transcription by RNA polymerase II (GO:0045944),0.6630419673452458,1.2359260267353325,0.022,0.21275738810854353,0.731,19/73,13.09%,ESR1;SMAD3;CASZ1;PLAGL1;MYOG;CREBRF;ARNT;MEF2C;PROX1;GLIS3;TFEB;HDAC8;HEYL;GLI2;SOX8;WWOX;STAT5B;BCAS3;GLIS2
12,regulation of transcription by RNA polymerase II (GO:0006357),0.6256071919565045,1.1794942008091553,0.025,0.2682993892780934,0.866,33/164,14.22%,ESR1;NPAS3;CAMTA1;BCL6;BACH2;SOX5;SMAD3;CASZ1;PLAGL1;HOXC5;MYOG;ZHX2;CREBRF;ARNT;MEF2C;PURG;PROX1;GLIS3;TFEB;HDAC9;HDAC8;PKNOX2;HEYL;GLI2;SOX8;WWOX;STAT5B;BCAS3;GLIS2;PDE2A;PER2;HOXA3;MAF
6,"negative regulation of transcription, DNA-templated (GO:0045892)",0.6722632175752642,1.2544695293591877,0.026,0.25675879776468813,0.666,23/72,17.83%,ESR1;SCML4;BCL6;SMAD3;ZHX2;MEF2C;PROX1;GLIS3;HDAC9;CDKN1C;HDAC8;HEYL;GLI2;SOX8;WWOX;BCL3;GLIS2;PDE2A;PER2;SFMBT2;MLIP;ANKRD2;PRKN
4,negative regulation of transcription by RNA polymerase II (GO:0000122),0.6849611167845203,1.2740346646425005,0.028,0.29945124100085585,0.598,18/53,17.83%,ESR1;BCL6;SMAD3;ZHX2;MEF2C;PROX1;GLIS3;HDAC9;HDAC8;GLI2;SOX8;WWOX;GLIS2;PDE2A;PER2;MLIP;ANKRD2;PRKN
0,positive regulation of intracellular signal transduction (GO:1902533),0.7790114453347715,1.4150472754961783,0.0328879753340185,0.22453808588833507,0.161,1/15,0.23%,ESR1
3,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6931838323799391,1.2795095977061988,0.04504504504504504,0.3564416251321552,0.585,11/42,13.09%,ESR1;NPAS3;SMAD3;CASZ1;MEF2C;TFEB;CDKN1C;GLI2;SOX8;BCL3;GLIS2
2,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6945312526704042,1.2842518587806508,0.06306306306306306,0.4531037607612143,0.575,13/35,15.80%,SCML4;BCL6;ZHX2;PROX1;HDAC9;CDKN1C;HEYL;SOX8;BCL3;GLIS2;PER2;CDAN1;SFMBT2
1,regulation of apoptotic process (GO:0042981),0.7489676023695693,1.3633354521081622,0.06857727737973388,0.2597794895030962,0.305,6/16,12.42%,BCL6;MEF2C;ACTN2;SOX8;BCL3;ITGB3BP
