,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,nervous system development (GO:0007399),0.6721591191873755,1.6497621640451263,0.0010080645161290322,0.2535625538820427,0.188,12/27,15.32%,RBFOX2;TEAD1;CHD7;NAV1;ZEB2;STAT3;ATXN1;SREBF2;MBD5;WWTR1;DYRK1A;JARID2
21,"regulation of transcription, DNA-templated (GO:0006355)",0.4585162965947041,1.2369333175396549,0.008,0.8454697592077784,1.0,160/423,32.38%,ZBTB20;ZEB1;RUNX1;RBFOX2;TCF4;MEF2A;TCF12;NFIX;PURB;TEAD1;MTDH;RREB1;PBXIP1;NCOR1;NCOA1;NIPBL;CBX5;ARID5B;CHD7;FOXN3;SETD5;ZEB2;FOXP1;RB1;KMT2E;HIVEP2;PEG3;DDX5;CHD4;ATF6;JMJD1C;STAT3;CUX1;ATRX;CDKN1C;PAX7;TEAD4;OGT;DDX17;ATXN1;ANKRD1;ZHX2;NFIC;CHD2;LRRFIP1;BBX;ENO1;NCOA2;SREBF2;MEF2D;BRD7;CCAR1;NSD1;WWTR1;BRD3;ARID1B;RFX3;RLF;DYRK1A;RBPJ;ARID4B;CREBBP;ZFHX3;ZHX3;TRPS1;NFIB;PPARGC1B;NSD3;JARID2;FUS;SMARCA5;LCOR;BPTF;NFE2L1;SFPQ;ESR1;THRA;KDM5A;NR6A1;RSF1;DHX36;BCLAF1;TBX15;BRD4;PBX1;MBTD1;UIMC1;SMARCC1;MEIS2;KDM1A;HIPK2;FOXO1;TBL1XR1;RFX7;BCL6;THRAP3;NFAT5;ZFHX4;PRDM2;KLF3;SMAD1;SIX1;HDAC4;PHF20;SBNO1;NFATC3;ZBTB7C;RCOR1;MED13;TCF7L2;KDM5C;KDM3A;TBL1X;KDM4C;CCNT2;MGA;TSHZ3;KDM5B;PHC3;KDM2A;BAZ2A;STAT5B;E2F2;MECP2;ARNT;NOTCH1;ZBTB18;SOX4;SAFB;KDM7A;HMG20A;MED13L;BICRA;ZBTB7A;PIAS2;WAC;CCNT1;SMAD3;CDK17;CHD3;PKNOX2;SMARCA4;TAF15;KAT6B;CASZ1;ZMYND11;GTF2IRD1;UBP1;CLOCK;SBNO2;NFKB1;SIRT2;EHMT1;PCGF5;BTAF1;JUN;FOXJ3;NR2C2;GPBP1;MITF
1,positive regulation of cellular catabolic process (GO:0031331),0.6669047791062864,1.5384870148459653,0.015544041450777202,0.6222425072265327,0.597,5/15,10.21%,ZBTB20;MTDH;ATF6;CNOT1;GSK3B
27,regulation of transcription by RNA polymerase II (GO:0006357),0.4346034125905447,1.1701568559427,0.027,0.9904515586852419,1.0,178/425,36.74%,ZBTB20;ZEB1;RUNX1;TCF4;MEF2A;TCF12;NFIX;PURB;TEAD1;MTDH;RREB1;NCOR1;NCOA1;NIPBL;CBX5;ARID5B;ZEB2;FOXP1;RB1;HIVEP2;PEG3;DDX5;CHD4;ATF6;JMJD1C;STAT3;MAML3;CUX1;ATRX;PAX7;TEAD4;OGT;DDX17;ATXN1;ANKRD1;CNOT1;ZHX2;HNRNPU;NFIC;CHD2;LRRFIP1;PHF21A;BBX;ENO1;NCOA2;KMT2C;SREBF2;MEF2D;BRD7;NSD1;WWTR1;BRD3;ARID1B;RFX3;RLF;CDK8;TPR;RBPJ;ARID4B;CREBBP;ZFHX3;WWOX;ASXL2;ZHX3;TRPS1;NFIB;BCAS3;PPARGC1B;DCAF6;FUS;MLLT10;SMARCA5;LCOR;BPTF;NFE2L1;GATAD2B;SFPQ;ESR1;THRA;NR6A1;TET2;RSF1;DHX36;ATAD2B;BCLAF1;N4BP2L2;TBX15;BRD4;PBX1;SMARCC1;MEIS2;KDM1A;HIPK2;FOXO1;APP;TBL1XR1;RFX7;BCL6;THRAP3;KDM6B;NFAT5;ZFHX4;PRDM2;KLF3;SMAD1;DOT1L;SIX1;HDAC4;PHF20;NFATC3;ZBTB7C;RCOR1;MED13;TCF25;TCF7L2;KDM3A;TBL1X;KDM4C;CCNT2;MGA;TSHZ3;KDM5B;KDM2A;STAT5B;E2F2;MECP2;ARNT;NOTCH1;ZBTB18;SOX4;SAFB;KDM7A;MED13L;ZBTB7A;PIAS2;CCNT1;SMAD3;CHD3;HDAC8;PKNOX2;SMARCA4;KAT6B;CASZ1;GTF2IRD1;UBP1;CLOCK;SBNO2;NFKB1;SIRT2;PCGF5;JUN;NRIP1;FOXJ3;NR2C2;MITF;CDK7;MRTFB;KLF9;INO80;MIER1;TCERG1;HOXC5;CHD8;GLYR1;EP300;KMT2A;HOXC4;HOXC6;CIR1;CREB5;CBFB;HIF1A;SSBP3;TET3;PRDM5;ATF7;CREBRF;TMF1
24,negative regulation of transcription by RNA polymerase II (GO:0000122),0.4545658203488354,1.2108668498378437,0.04,0.8791926568284396,1.0,53/166,23.91%,ZEB1;RUNX1;MEF2A;NFIX;MTDH;RREB1;NCOR1;NIPBL;CBX5;ARID5B;ZEB2;FOXP1;RB1;PEG3;DDX5;STAT3;CUX1;ATRX;ATXN1;CNOT1;ZHX2;HNRNPU;NFIC;LRRFIP1;PHF21A;ENO1;SREBF2;NSD1;TPR;RBPJ;CREBBP;ZFHX3;WWOX;TRPS1;NFIB;LCOR;BPTF;GATAD2B;SFPQ;ESR1;THRA;NR6A1;N4BP2L2;MEIS2;KDM1A;TBL1XR1;BCL6;PRDM2;HDAC4;NFATC3;TCF25;TCF7L2;TBL1X
4,regulation of cell differentiation (GO:0045595),0.5977800360312638,1.424191606064673,0.04378818737270876,0.9004513413459101,0.949,9/20,22.29%,RUNX1;PURB;DDX5;DDX17;CREBBP;ZFHX3;TRPS1;BCL6;SIX1
3,central nervous system development (GO:0007417),0.5923249593246398,1.424486172895124,0.04641775983854692,1.0,0.948,11/23,19.43%,NIPBL;CHD7;STAT3;ATXN1;ZFHX3;NFIB;JARID2;BPTF;UBE3A;PBX1;MEIS2
5,RNA processing (GO:0006396),0.615608701534972,1.421161813910193,0.050515463917525774,0.7733657893402303,0.954,7/16,16.69%,RBM39;DDX17;ATXN1;HNRNPU;SF3B1;FUS;SFPQ
2,"regulation of mRNA splicing, via spliceosome (GO:0048024)",0.6400147507036147,1.4352235189546751,0.05257731958762887,1.0,0.929,10/15,27.52%,RBFOX2;RBM39;DDX5;DDX17;HNRNPU;NCL;THRAP3;YTHDC1;FAM172A;ZBTB7A
8,cellular macromolecule biosynthetic process (GO:0034645),0.601944698385461,1.4039339858523054,0.06269270298047276,0.6017884612133814,0.969,2/17,2.12%,MEF2A;TOP1
