,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,regulation of gene expression (GO:0010468),0.7787382839863997,1.346344214472819,0.025,0.5501583133832728,0.294,6/38,7.89%,IGF2;BCL6;ATF7;ESR1;PROX1;CASZ1
2,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.7651352505842113,1.3400596309768615,0.08132530120481928,0.19877982855818982,0.311,3/26,3.07%,IGF2;ATF7;ESR1
1,regulation of nucleic acid-templated transcription (GO:1903506),0.7675432262601827,1.3409481784848865,0.08224674022066199,0.2931500501969264,0.307,3/25,3.07%,IGF2;ATF7;ESR1
3,negative regulation of transcription by RNA polymerase II (GO:0000122),0.7077384059975501,1.21262831231337,0.161,0.555679975287667,0.705,4/36,6.58%,IGF2;BCL6;ESR1;PROX1
6,"negative regulation of transcription, DNA-templated (GO:0045892)",0.6603756922177542,1.1307087807276972,0.282,0.5579029820283972,0.87,5/45,6.58%,IGF2;BCL6;ESR1;SCML4;PROX1
4,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6736846411471444,1.1848504635961055,0.2880161127895267,0.5453394084485288,0.759,8/22,17.54%,BCL6;SCML4;PROX1;SOX8;CDAN1;HEYL;CBFA2T3;PER2
8,"regulation of transcription, DNA-templated (GO:0006355)",0.624373011065945,1.068004463596437,0.317,0.6074943582086991,0.939,20/95,17.54%,IGF2;BCL6;ATF7;ESR1;NPAS3;HOXC5;SCML4;SOX5;PROX1;CASZ1;BACH2;SOX8;PURG;HEYL;ANKRD2;ACVR1B;CBFA2T3;TFEB;TEAD4;PER2
5,negative regulation of nucleic acid-templated transcription (GO:1903507),0.6669377165738904,1.162989426118409,0.32793522267206476,0.5327567122300306,0.814,7/20,17.54%,BCL6;SCML4;PROX1;SOX8;HEYL;CBFA2T3;PER2
7,transcription by RNA polymerase II (GO:0006366),0.6440079303963693,1.1086889335285302,0.4196519959058342,0.5584408062398641,0.903,2/16,6.14%,ESR1;SOX5
9,positive regulation of transcription by RNA polymerase II (GO:0045944),0.6140470994553894,1.0548785044689721,0.436,0.5775658351996293,0.953,8/38,16.67%,IGF2;ESR1;PROX1;CASZ1;SOX8;LPIN3;HEYL;TFEB
10,regulation of transcription by RNA polymerase II (GO:0006357),0.6022573657173294,1.0292563114285473,0.457,0.5821018120037349,0.964,18/95,17.54%,IGF2;BCL6;ATF7;ESR1;NPAS3;HOXC5;SOX5;PROX1;CASZ1;BACH2;SOX8;LPIN3;PURG;HEYL;ANKRD2;TFEB;TEAD4;PER2
11,"positive regulation of transcription, DNA-templated (GO:0045893)",0.5842792247295756,1.0035635231013451,0.542,0.5845432079697273,0.974,5/49,7.89%,IGF2;ESR1;NPAS3;PROX1;CASZ1
12,positive regulation of nucleic acid-templated transcription (GO:1903508),0.5579520874656586,0.9635100547394526,0.6122244488977956,0.6030581512085875,0.981,7/27,22.81%,ESR1;NPAS3;CASZ1;SOX8;TFEB;BCL3;GLI2
