,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
2,negative regulation of transcription by RNA polymerase II (GO:0000122),0.485302168731044,1.3093405609342958,0.012,1.0,0.893,36/99,26.88%,RUNX1;ATXN1;HMGA2;MEIS2;TCF7L2;NFIX;CUX1;ZEB1;ZEB2;NFKB1;ZFHX3;FOXP1;NIPBL;ATRX;NCOR1;TRPS1;PHF21A;CREBBP;GLI3;ETV6;ARID5B;WWOX;LRRFIP1;TBL1X;NFIB;ZFPM2;NSD1;DDX5;CBX5;TPR;MTDH;SMARCA4;SFPQ;CNOT1;NR6A1;RREB1
4,positive regulation of transcription by RNA polymerase II (GO:0045944),0.4423889215879067,1.1951307059074483,0.05,1.0,0.995,31/130,17.08%,RUNX1;PBX1;MAML3;TCF12;HMGA2;MEIS2;TCF7L2;MRTFA;RUNX2;NFIX;NFAT5;MAML2;ZEB2;TEAD1;NFKB1;ZFHX3;TCF4;MLLT10;ATRX;CDK8;ZMIZ1;CREBBP;GLI3;WWOX;TBL1X;TCF20;SSBP3;APP;NFIB;ZFPM2;KMT2A
0,negative regulation of gene expression (GO:0010629),0.560994711086679,1.3493932429508237,0.05482233502538071,1.0,0.799,7/20,20.50%,RUNX1;NFKB1;FOXP1;NCOR1;NCL;APP;JARID2
1,nervous system development (GO:0007399),0.5686822661403893,1.3383039889252741,0.07426246185147507,1.0,0.832,8/17,21.18%,ATXN1;RBFOX2;ZEB2;TEAD1;MBD5;NAV1;JARID2;CHD7
12,regulation of transcription by RNA polymerase II (GO:0006357),0.41802718029077396,1.1379331101286683,0.105,0.9563337128792947,0.999,71/240,26.42%,RUNX1;PBX1;MAML3;ZBTB20;ATXN1;TCF12;HMGA2;MEIS2;TCF7L2;MRTFA;RUNX2;NFIX;CUX1;ZFHX4;ZEB1;NFAT5;MAML2;ZEB2;ARID1B;TEAD1;NFKB1;ZFHX3;TCF4;FOXP1;NIPBL;MLLT10;ATRX;NCOR1;CDK8;TRPS1;PHF21A;ZMIZ1;CREBBP;GLI3;ETV6;ARID5B;WWOX;LRRFIP1;JMJD1C;TBL1X;TCF20;SSBP3;CHD4;APP;NFIB;BBX;ZFPM2;KMT2A;EBF1;PBX3;ZBTB38;NSD1;DDX5;CBX5;PAX7;ANKRD1;TPR;CHD2;BRD4;TRERF1;MTDH;SMARCC1;TCF7L1;SMARCA4;MEIS1;SFPQ;ASXL1;CNOT1;PIAS2;HOXC5;NR6A1
3,positive regulation of cell differentiation (GO:0045597),0.5471750887817759,1.3088593013581318,0.11133810010214505,0.8629499443367831,0.893,4/18,7.74%,RUNX2;ZEB1;NFKB1;TCF4
10,"positive regulation of transcription, DNA-templated (GO:0045893)",0.420753824597187,1.1443954803617293,0.113,1.0,0.999,60/152,34.17%,RUNX1;PBX1;MAML3;TCF12;HMGA2;MEIS2;TCF7L2;MRTFA;RUNX2;NFIX;NFAT5;MAML2;ZEB2;ARID1B;TEAD1;NFKB1;ZFHX3;TCF4;MLLT10;ATRX;CDK8;ZMIZ1;CREBBP;GLI3;WWOX;TBL1X;TCF20;SSBP3;APP;NFIB;ZFPM2;KMT2A;KMT2E;ZBTB38;NSD1;NSD3;BRD4;TRERF1;SMARCC1;SMARCA4;MEIS1;SFPQ;ASXL1;DYRK1A;RREB1;THRAP3;NRF1;HNRNPU;MLLT3;HIPK2;WWTR1;E2F3;SATB2;BPTF;EGFR;RFX3;ATAD2B;NCOA2;MEF2A;ARID1A
14,positive regulation of nucleic acid-templated transcription (GO:1903508),0.42721346343419436,1.1347830291304497,0.208,0.8454569194189034,0.999,26/72,29.61%,RUNX1;HMGA2;RUNX2;ARID1B;TEAD1;NFKB1;ZFHX3;TCF4;ZMIZ1;CREBBP;GLI3;TBL1X;NFIB;KMT2A;KMT2E;NSD1;NSD3;BRD4;TRERF1;SMARCC1;SMARCA4;DYRK1A;RREB1;THRAP3;MLLT3;HIPK2
7,transcription initiation from RNA polymerase II promoter (GO:0006367),0.4872826197726243,1.1738232117389626,0.21686746987951808,1.0,0.995,6/22,14.58%,MAML3;MAML2;TEAD1;NCOR1;CREBBP;TBL1X
8,positive regulation of cell population proliferation (GO:0008284),0.46275420973510956,1.1518457803559978,0.24373119358074222,1.0,0.999,17/27,41.69%,HMGA2;MEIS2;TCF7L2;FOXP1;ZFPM2;CDK6;MEIS1;PAK1;HNRNPU;WWTR1;LAMC1;CCAR1;EGFR;HDAC4;SOX4;EZH2;NRG1
5,cellular response to cytokine stimulus (GO:0071345),0.5052434523643445,1.1755608512112359,0.24563206577595068,1.0,0.995,8/17,32.35%,ZEB1;NFAT5;NFKB1;ANKRD1;TPR;GSK3B;HNRNPU;PTPN14
11,regulation of cell population proliferation (GO:0042127),0.44779384014752927,1.1395452391259746,0.251503006012024,1.0,0.999,20/37,41.69%,RUNX1;MEIS2;RBFOX2;TCF7L2;APP;LMNA;CDK6;PBRM1;MEIS1;PAK1;WWTR1;ARID2;CCAR1;PTPN14;EGFR;SKI;HDAC4;SOX4;EZH2;NRG1
